step,phase,delta_oracle,delta_GLR-UCB,delta_D-UCB,delta_SW-UCB,switch_oracle,switch_GLR-UCB,switch_D-UCB,switch_SW-UCB
85,0,-385.5,47069.2,47069.2,47069.2,0,0,0,0
86,0,-390.0,47069.2,47069.2,47069.2,0,0,0,0
87,0,-394.3,47069.2,47069.2,47069.2,0,0,0,0
88,0,-398.8,47069.2,47069.2,47069.2,0,0,0,0
89,0,-403.3,47069.2,47069.2,47069.2,0,0,0,0
90,0,-407.8,47069.2,47069.2,47069.2,0,0,0,0
91,0,-412.3,47069.2,47069.2,47069.2,0,0,0,0
92,0,-416.9,47069.2,47069.2,47069.2,0,0,0,0
93,0,-421.4,47069.2,47069.2,47069.2,0,0,0,0
94,0,-425.9,47069.2,47069.2,47069.2,0,0,0,0
95,0,-430.3,47069.2,47069.2,47069.2,0,0,0,0
96,0,-435.0,47069.2,47069.2,47069.2,0,0,0,0
97,0,-439.5,47069.2,47069.2,47069.2,0,0,0,0
98,0,-443.8,47069.2,47069.2,47069.2,0,0,0,0
99,0,-448.4,47069.2,47069.2,47069.2,0,0,0,0
100,0,-453.0,47069.2,47069.2,47069.2,0,0,0,0
101,0,-457.4,47069.2,47069.2,47069.2,0,0,0,0
102,0,-461.8,47069.2,47069.2,47069.2,0,0,0,0
103,0,-466.3,47069.2,47069.2,47069.2,0,0,0,0
104,0,-470.7,47069.2,47069.2,47069.2,0,0,0,0
105,0,-475.3,47069.2,47069.2,47069.2,0,0,0,0
106,0,-479.8,47069.2,47069.2,47069.2,0,0,0,0
107,0,-484.4,47069.2,47069.2,47069.2,0,0,0,0
108,0,-489.1,47069.2,47069.2,47069.2,0,0,0,0
109,0,-493.4,47069.2,47069.2,47069.2,0,0,0,0
110,0,-498.0,47069.2,47069.2,47069.2,0,0,0,0
111,0,-502.5,47069.2,47069.2,47069.2,0,0,0,0
112,0,-507.0,47069.2,47069.2,47069.2,0,0,0,0
113,0,-511.5,47069.2,47069.2,47069.2,0,0,0,0
114,0,-516.0,47069.2,47069.2,47069.2,0,0,0,0
115,0,-520.6,47069.2,47069.2,47069.2,0,0,0,0
116,0,-524.9,47069.2,47069.2,47069.2,0,0,0,0
117,0,-529.5,47069.2,47069.2,47069.2,0,0,0,0
118,0,-534.0,47069.2,47069.2,47069.2,0,0,0,0
119,0,-538.5,47069.2,47069.2,47069.2,0,0,0,0
120,0,-542.9,47069.2,47069.2,47069.2,0,0,0,0
121,0,-547.3,47069.2,47069.2,47069.2,0,0,0,0
122,0,-551.7,47069.2,47069.2,47069.2,0,0,0,0
123,0,-556.1,47069.2,47069.2,47069.2,0,0,0,0
124,0,-560.6,47069.2,47069.2,47069.2,0,0,0,0
125,0,-565.1,47069.2,47069.2,47069.2,0,0,0,0
126,0,-569.6,47069.2,47069.2,47069.2,0,0,0,0
127,0,-574.1,47069.2,47069.2,47069.2,0,0,0,0
128,0,-578.6,47069.2,47069.2,47069.2,0,0,0,0
129,0,-582.9,47069.2,47069.2,47069.2,0,0,0,0
130,0,-587.4,47069.2,47069.2,47069.2,0,0,0,0
131,0,-591.9,47069.2,47069.2,47069.2,0,0,0,0
132,0,-596.2,47069.2,47069.2,47069.2,0,0,0,0
133,0,-600.6,47069.2,47069.2,47069.2,0,0,0,0
134,0,-605.1,47069.2,47069.2,47069.2,0,0,0,0
135,0,-609.6,47069.2,47069.2,47069.2,0,0,0,0
136,0,-614.2,47069.2,47069.2,47069.2,0,0,0,0
137,0,-618.6,47069.2,47069.2,47069.2,0,0,0,0
138,0,-623.0,47069.2,47069.2,47069.2,0,0,0,0
139,0,-627.4,47069.2,47069.2,47069.2,0,0,0,0
140,0,-631.9,47069.2,47069.2,47069.2,0,0,0,0
141,0,-636.4,47069.2,47069.2,47069.2,0,0,0,0
142,0,-641.0,47069.2,47069.2,47069.2,0,0,0,0
143,0,-645.7,47069.2,47069.2,47069.2,0,0,0,0
144,0,-650.3,47069.2,47069.2,47069.2,0,0,0,0
145,0,-654.8,47069.2,47069.2,47069.2,0,0,0,0
146,0,-659.3,47069.2,47069.2,47069.2,0,0,0,0
147,0,-663.9,47069.2,47069.2,47069.2,0,0,0,0
148,0,-668.6,47069.2,47069.2,47069.2,0,0,0,0
149,0,-673.1,47069.2,47069.2,47069.2,0,0,0,0
150,0,-677.6,47069.2,47069.2,47069.2,0,0,0,0
151,0,-682.1,47069.2,47069.2,47069.2,0,0,0,0
152,0,-686.7,47069.2,47069.2,47069.2,0,0,0,0
153,0,-691.1,47069.2,47069.2,47069.2,0,0,0,0
154,0,-695.5,47069.2,47069.2,47069.2,0,0,0,0
155,0,-700.1,47069.2,47069.2,47069.2,0,0,0,0
156,0,-704.5,47069.2,47069.2,47069.2,0,0,0,0
157,0,-709.1,47069.2,47069.2,47069.2,0,0,0,0
158,0,-713.6,47069.2,47069.2,47069.2,0,0,0,0
159,0,-718.2,47069.2,47069.2,47069.2,0,0,0,0
160,0,-722.5,47069.2,47069.2,47069.2,0,0,0,0
161,0,-726.9,47069.2,47069.2,47069.2,0,0,0,0
162,0,-731.4,47069.2,47069.2,47069.2,0,0,0,0
163,0,-735.9,47069.2,47069.2,47069.2,0,0,0,0
164,0,-740.4,47069.2,47069.2,47069.2,0,0,0,0
165,0,-744.9,47069.2,47069.2,47069.2,0,0,0,0
166,0,-749.4,47069.2,47069.2,47069.2,0,0,0,0
167,0,-753.9,47069.2,47069.2,47069.2,0,0,0,0
168,0,-758.3,47069.2,47069.2,47069.2,0,0,0,0
169,0,-762.8,47069.2,47069.2,47069.2,0,0,0,0
170,0,-767.2,47069.2,47069.2,47069.2,0,0,0,0
171,0,-771.7,47069.2,47069.2,47069.2,0,0,0,0
172,0,-776.2,47069.2,47069.2,47069.2,0,0,0,0
173,0,-780.7,47069.2,47069.2,47069.2,0,0,0,0
174,0,-785.2,47069.2,47069.2,47069.2,0,0,0,0
175,0,-789.7,47069.2,47069.2,47069.2,0,0,0,0
176,0,-794.3,47069.2,47069.2,47069.2,0,0,0,0
177,0,-798.8,47069.2,47069.2,47069.2,0,0,0,0
178,0,-803.2,47069.2,47069.2,47069.2,0,0,0,0
179,0,-807.7,47069.2,47069.2,47069.2,0,0,0,0
180,0,-812.2,47069.2,47069.2,47069.2,0,0,0,0
181,0,-816.5,47069.2,47069.2,47069.2,0,0,0,0
182,0,-820.9,47069.2,47069.2,47069.2,0,0,0,0
183,0,-825.3,47069.2,47069.2,47069.2,0,0,0,0
184,0,-829.8,47069.2,47069.2,47069.2,0,0,0,0
185,0,-834.3,47069.2,47069.2,47069.2,0,0,0,0
186,0,-838.8,47069.2,47069.2,47069.2,0,0,0,0
187,0,-843.3,47069.2,47069.2,47069.2,0,0,0,0
188,0,-847.8,47069.2,47069.2,47069.2,0,0,0,0
189,0,-852.1,47069.2,47069.2,47069.2,0,0,0,0
190,0,-856.7,47069.2,47069.2,47069.2,0,0,0,0
191,0,-861.2,47069.2,47069.2,47069.2,0,0,0,0
192,0,-865.8,47069.2,47069.2,47069.2,0,0,0,0
193,0,-870.2,47069.2,47069.2,47069.2,0,0,0,0
194,0,-874.6,47069.2,47069.2,47069.2,0,0,0,0
195,0,-879.4,47069.2,47069.2,47069.2,0,0,0,0
196,0,-884.0,47069.2,47069.2,47069.2,0,0,0,0
197,0,-888.5,47069.2,47069.2,47069.2,0,0,0,0
198,0,-893.1,47069.2,47069.2,47069.2,0,0,0,0
199,0,-897.7,47069.2,47069.2,47069.2,0,0,0,0
200,0,-902.1,47069.2,47069.2,47069.2,0,0,0,0
201,0,-906.6,47069.2,47069.2,47069.2,0,0,0,0
202,0,-911.2,47069.2,47069.2,47069.2,0,0,0,0
203,0,-915.7,47069.2,47069.2,47069.2,0,0,0,0
204,0,-920.1,47069.2,47069.2,47069.2,0,0,0,0
205,0,-924.5,47069.2,47069.2,47069.2,0,0,0,0
206,0,-929.0,47069.2,47069.2,47069.2,0,0,0,0
207,0,-933.4,47069.2,47069.2,47069.2,0,0,0,0
208,0,-938.0,47069.2,47069.2,47069.2,0,0,0,0
209,0,-942.4,47069.2,47069.2,47069.2,0,0,0,0
210,0,-947.0,47069.2,47069.2,47069.2,0,0,0,0
211,0,-951.5,47069.2,47069.2,47069.2,0,0,0,0
212,0,-956.1,47069.2,47069.2,47069.2,0,0,0,0
213,0,-960.7,47069.2,47069.2,47069.2,0,0,0,0
214,0,-965.1,47069.2,47069.2,47069.2,0,0,0,0
215,0,-969.7,47069.2,47069.2,47069.2,0,0,0,0
216,0,-974.1,47069.2,47069.2,47069.2,0,0,0,0
217,0,-978.6,47069.2,47069.2,47069.2,0,0,0,0
218,0,-983.0,47069.2,47069.2,47069.2,0,0,0,0
219,0,-987.4,47069.2,47069.2,47069.2,0,0,0,0
220,0,-991.9,47069.2,47069.2,47069.2,0,0,0,0
221,0,-996.3,47069.2,47069.2,47069.2,0,0,0,0
222,0,-1000.7,47069.2,47069.2,47069.2,0,0,0,0
223,0,-1005.3,47069.2,47069.2,47069.2,0,0,0,0
224,0,-1009.7,47069.2,47069.2,47069.2,0,0,0,0
225,0,-1014.4,47069.2,47069.2,47069.2,0,0,0,0
226,0,-1018.9,47069.2,47069.2,47069.2,0,0,0,0
227,0,-1023.4,47069.2,47069.2,47069.2,0,0,0,0
228,0,-1027.9,47069.2,47069.2,47069.2,0,0,0,0
229,0,-1032.3,47069.2,47069.2,47069.2,0,0,0,0
230,0,-1036.9,47069.2,47069.2,47069.2,0,0,0,0
231,0,-1041.5,47069.2,47069.2,47069.2,0,0,0,0
232,0,-1045.9,47069.2,47069.2,47069.2,0,0,0,0
233,0,-1050.6,47069.2,47069.2,47069.2,0,0,0,0
234,0,-1055.1,47069.2,47069.2,47069.2,0,0,0,0
235,0,-1059.6,47069.2,47069.2,47069.2,0,0,0,0
236,0,-1064.1,47069.2,47069.2,47069.2,0,0,0,0
237,0,-1068.6,47069.2,47069.2,47069.2,0,0,0,0
238,0,-1073.0,47069.2,47069.2,47069.2,0,0,0,0
239,0,-1077.4,47069.2,47069.2,47069.2,0,0,0,0
240,0,-1081.9,47069.2,47069.2,47069.2,0,0,0,0
241,0,-1086.4,47069.2,47069.2,47069.2,0,0,0,0
242,0,-1090.9,47069.2,47069.2,47069.2,0,0,0,0
243,0,-1095.2,47069.2,47069.2,47069.2,0,0,0,0
244,0,-1099.7,47069.2,47069.2,47069.2,0,0,0,0
245,0,-1104.2,47069.2,47069.2,47069.2,0,0,0,0
246,0,-1108.7,47069.2,47069.2,47069.2,0,0,0,0
247,0,-1113.2,47069.2,47069.2,47069.2,0,0,0,0
248,0,-1117.5,47069.2,47069.2,47069.2,0,0,0,0
249,0,-1122.0,47069.2,47069.2,47069.2,0,0,0,0
250,0,-1126.5,47069.2,47069.2,47069.2,0,0,0,0
251,0,-1131.1,47069.2,47069.2,47069.2,0,0,0,0
252,0,-1135.3,47069.2,47069.2,47069.2,0,0,0,0
253,0,-1139.8,47069.2,47069.2,47069.2,0,0,0,0
254,0,-1144.1,47069.2,47069.2,47069.2,0,0,0,0
255,0,-1148.5,47069.2,47069.2,47069.2,0,0,0,0
256,0,-1153.0,47069.2,47069.2,47069.2,0,0,0,0
257,0,-1157.4,47069.2,47069.2,47069.2,0,0,0,0
258,0,-1161.9,47069.2,47069.2,47069.2,0,0,0,0
259,0,-1166.4,47069.2,47069.2,47069.2,0,0,0,0
260,0,-1170.9,47069.2,47069.2,47069.2,0,0,0,0
261,0,-1175.4,47069.2,47069.2,47069.2,0,0,0,0
262,0,-1179.8,47069.2,47069.2,47069.2,0,0,0,0
263,0,-1184.2,47069.2,47069.2,47069.2,0,0,0,0
264,0,-1188.7,47069.2,47069.2,47069.2,0,0,0,0
265,0,-1193.3,47069.2,47069.2,47069.2,0,0,0,0
266,0,-1197.8,47069.2,47069.2,47069.2,0,0,0,0
267,0,-1202.4,47069.2,47069.2,47069.2,0,0,0,0
268,0,-1206.9,47069.2,47069.2,47069.2,0,0,0,0
269,0,-1211.4,47069.2,47069.2,47069.2,0,0,0,0
270,0,-1216.0,47069.2,47069.2,47069.2,0,0,0,0
271,0,-1220.4,47069.2,47069.2,47069.2,0,0,0,0
272,0,-1224.9,47069.2,47069.2,47069.2,0,0,0,0
273,0,-1229.3,47069.2,47069.2,47069.2,0,0,0,0
274,0,-1234.0,47069.2,47069.2,47069.2,0,0,0,0
275,0,-1238.6,47069.2,47069.2,47069.2,0,0,0,0
276,0,-1243.0,47069.2,47069.2,47069.2,0,0,0,0
277,0,-1247.4,47069.2,47069.2,47069.2,0,0,0,0
278,0,-1251.8,47069.2,47069.2,47069.2,0,0,0,0
279,0,-1256.3,47069.2,47069.2,47069.2,0,0,0,0
280,0,-1260.7,47069.2,47069.2,47069.2,0,0,0,0
281,0,-1265.2,47069.2,47069.2,47069.2,0,0,0,0
282,0,-1269.6,47069.2,47069.2,47069.2,0,0,0,0
283,0,-1274.2,47069.2,47069.2,47069.2,0,0,0,0
284,0,-1278.7,47069.2,47069.2,47069.2,0,0,0,0
285,0,-1283.2,47069.2,47069.2,47069.2,0,0,0,0
286,0,-1287.8,47069.2,47069.2,47069.2,0,0,0,0
287,0,-1292.3,47069.2,47069.2,47069.2,0,0,0,0
288,0,-1296.9,47069.2,47069.2,47069.2,0,0,0,0
289,0,-1301.6,47069.2,47069.2,47069.2,0,0,0,0
290,0,-1306.1,47069.2,47069.2,47069.2,0,0,0,0
291,0,-1310.6,47069.2,47069.2,47069.2,0,0,0,0
292,0,-1315.3,47069.2,47069.2,47069.2,0,0,0,0
293,0,-1319.8,47069.2,47069.2,47069.2,0,0,0,0
294,0,-1324.2,47069.2,47069.2,47069.2,0,0,0,0
295,0,-1328.6,47069.2,47069.2,47069.2,0,0,0,0
296,0,-1333.2,47069.2,47069.2,47069.2,0,0,0,0
297,0,-1337.7,47069.2,47069.2,47069.2,0,0,0,0
298,0,-1342.1,47069.2,47069.2,47069.2,0,0,0,0
299,0,-1346.6,47069.2,47069.2,47069.2,0,0,0,0
300,1,46450.6,47069.2,47069.2,47069.2,0,0,0,0
301,1,46450.6,47069.2,47069.2,49328.8,0,0,0,1
302,1,46450.6,47069.2,47069.2,51906.1,0,0,0,1
303,1,46450.6,47069.2,47069.2,63705.0,0,0,0,1
304,1,46450.6,47069.2,47069.2,65829.0,0,0,0,1
305,1,46450.6,47069.2,47069.2,67060.5,0,0,0,1
306,1,46450.6,47069.2,47069.2,84590.5,0,0,0,1
307,1,46450.6,47069.2,47069.2,84623.6,0,0,0,0
308,1,46450.6,47069.2,47069.2,84655.9,0,0,0,0
309,1,46450.6,47069.2,47069.2,84692.5,0,0,0,0
310,1,46450.6,47069.2,47069.2,84730.0,0,0,0,0
311,1,46450.6,47069.2,47069.2,84764.1,0,0,0,0
312,1,46450.6,47069.2,47069.2,84801.9,0,0,0,0
313,1,46450.6,47069.2,47069.2,84834.3,0,0,0,0
314,1,46450.6,47069.2,47069.2,84870.4,0,0,0,0
315,1,46450.6,47069.2,47069.2,84905.3,0,0,0,0
316,1,46450.6,47069.2,47069.2,84937.4,0,0,0,0
317,1,46450.6,47069.2,47069.2,84969.5,0,0,0,0
318,1,46450.6,47069.2,47069.2,85003.1,0,0,0,0
319,1,46450.6,47069.2,47069.2,85031.6,0,0,0,0
320,1,46450.6,47069.2,47069.2,85067.2,0,0,0,0
321,1,46450.6,47069.2,47069.2,85096.1,0,0,0,0
322,1,46450.6,47069.2,47069.2,85127.8,0,0,0,0
323,1,46450.6,47069.2,47069.2,85164.8,0,0,0,0
324,1,46450.6,47069.2,47069.2,85203.2,0,0,0,0
325,1,46450.6,47069.2,47069.2,85241.0,0,0,0,0
326,1,46450.6,47069.2,47069.2,85277.8,0,0,0,0
327,1,46450.6,47069.2,47069.2,85308.3,0,0,0,0
328,1,46450.6,47069.2,47069.2,85343.7,0,0,0,0
329,1,46450.6,47069.2,47069.2,85379.5,0,0,0,0
330,1,46450.6,47069.2,47069.2,85413.2,0,0,0,0
331,1,46450.6,47069.2,47069.2,85450.1,0,0,0,0
332,1,46450.6,47069.2,47069.2,85479.2,0,0,0,0
333,1,46450.6,47069.2,47069.2,85516.6,0,0,0,0
334,1,46450.6,47069.2,47069.2,85551.4,0,0,0,0
335,1,46450.6,47069.2,47069.2,85587.8,0,0,0,0
336,1,46450.6,47069.2,47069.2,85621.7,0,0,0,0
337,1,46450.6,47069.2,47069.2,85655.8,0,0,0,0
338,1,46450.6,47069.2,47069.2,85685.2,0,0,0,0
339,1,46450.6,47069.2,47069.2,85722.1,0,0,0,0
340,1,46450.6,47069.2,47069.2,85759.6,0,0,0,0
341,1,46450.6,47069.2,47069.2,85794.6,0,0,0,0
342,1,46450.6,47069.2,47069.2,85831.5,0,0,0,0
343,1,46450.6,47069.2,47069.2,85865.9,0,0,0,0
344,1,46450.6,47069.2,47069.2,85904.0,0,0,0,0
345,1,46450.6,47069.2,47069.2,85936.3,0,0,0,0
346,1,46450.6,47069.2,47069.2,85970.5,0,0,0,0
347,1,46450.6,47069.2,47069.2,86007.3,0,0,0,0
348,1,46450.6,47069.2,47069.2,86042.6,0,0,0,0
349,1,46450.6,47069.2,47069.2,86078.9,0,0,0,0
350,1,46450.6,47069.2,47069.2,86108.7,0,0,0,0
351,1,46450.6,47069.2,47069.2,86142.7,0,0,0,0
