hw,backend,bucket,cost_ratio
RTX_4500_Ada_Generation,ort_cuda_fp32,T32/384,1.7765
RTX_4500_Ada_Generation,ort_cuda_fp32,S1/224,2.3235
RTX_4500_Ada_Generation,ort_cuda_fp32,S8/224,2.1585
RTX_4500_Ada_Generation,ort_cuda_fp32,S32/224,4.2665
RTX_4500_Ada_Generation,ort_cuda_fp32,S1/384,2.5013
RTX_4500_Ada_Generation,ort_cuda_fp32,S8/384,4.8439
RTX_4500_Ada_Generation,ort_cuda_fp32,S32/384,2.6063
RTX_4500_Ada_Generation,ort_cuda_fp32,D1/224,2.4142
RTX_4500_Ada_Generation,ort_cuda_fp32,D8/224,2.1440
RTX_4500_Ada_Generation,ort_cuda_fp32,D32/224,4.2227
RTX_4500_Ada_Generation,ort_cuda_fp32,D1/384,2.4794
RTX_4500_Ada_Generation,ort_cuda_fp32,D8/384,4.8017
RTX_4500_Ada_Generation,ort_cuda_fp32,D32/384,2.7341
RTX_4500_Ada_Generation,ort_cuda_fp32,B1/224,1.8586
RTX_4500_Ada_Generation,ort_cuda_fp32,B8/224,2.4486
RTX_4500_Ada_Generation,ort_cuda_fp32,B32/224,2.3064
RTX_4500_Ada_Generation,ort_cuda_fp32,B1/384,2.4705
RTX_4500_Ada_Generation,ort_cuda_fp32,B8/384,4.5465
RTX_4500_Ada_Generation,ort_cuda_fp32,B32/384,3.7103
RTX_4500_Ada_Generation,ort_cuda_fp16,T1/224,2.1346
RTX_4500_Ada_Generation,ort_cuda_fp16,T8/224,1.5878
RTX_4500_Ada_Generation,ort_cuda_fp16,T32/224,1.2561
RTX_4500_Ada_Generation,ort_cuda_fp16,T1/384,1.9190
RTX_4500_Ada_Generation,ort_cuda_fp16,T8/384,1.5761
RTX_4500_Ada_Generation,ort_cuda_fp16,T32/384,1.3076
RTX_4500_Ada_Generation,ort_cuda_fp16,S1/224,1.8604
RTX_4500_Ada_Generation,ort_cuda_fp16,S8/224,1.5192
RTX_4500_Ada_Generation,ort_cuda_fp16,S32/224,1.5500
RTX_4500_Ada_Generation,ort_cuda_fp16,S1/384,1.7222
RTX_4500_Ada_Generation,ort_cuda_fp16,S8/384,1.8944
RTX_4500_Ada_Generation,ort_cuda_fp16,S32/384,1.5237
RTX_4500_Ada_Generation,ort_cuda_fp16,D1/224,1.8829
RTX_4500_Ada_Generation,ort_cuda_fp16,D8/224,1.5054
RTX_4500_Ada_Generation,ort_cuda_fp16,D32/224,1.5656
RTX_4500_Ada_Generation,ort_cuda_fp16,D1/384,1.7116
RTX_4500_Ada_Generation,ort_cuda_fp16,D8/384,1.8853
RTX_4500_Ada_Generation,ort_cuda_fp16,D32/384,1.7237
RTX_4500_Ada_Generation,ort_cuda_fp16,B1/224,1.2053
RTX_4500_Ada_Generation,ort_cuda_fp16,B8/224,1.4054
RTX_4500_Ada_Generation,ort_cuda_fp16,B32/224,1.3533
RTX_4500_Ada_Generation,ort_cuda_fp16,B1/384,1.5282
RTX_4500_Ada_Generation,ort_cuda_fp16,B8/384,2.6288
RTX_4500_Ada_Generation,ort_cuda_fp16,B32/384,2.0614
RTX_4500_Ada_Generation,ort_trt,T1/224,1.0000
RTX_4500_Ada_Generation,ort_trt,T8/224,1.0000
RTX_4500_Ada_Generation,ort_trt,T32/224,1.0000
RTX_4500_Ada_Generation,ort_trt,T1/384,1.0000
RTX_4500_Ada_Generation,ort_trt,T8/384,1.0000
RTX_4500_Ada_Generation,ort_trt,T32/384,1.0000
RTX_4500_Ada_Generation,ort_trt,S1/224,1.0000
RTX_4500_Ada_Generation,ort_trt,S8/224,1.0000
RTX_4500_Ada_Generation,ort_trt,S32/224,1.0000
RTX_4500_Ada_Generation,ort_trt,S1/384,1.0000
RTX_4500_Ada_Generation,ort_trt,S8/384,1.0000
RTX_4500_Ada_Generation,ort_trt,S32/384,1.0000
RTX_4500_Ada_Generation,ort_trt,D1/224,1.0000
RTX_4500_Ada_Generation,ort_trt,D8/224,1.0000
RTX_4500_Ada_Generation,ort_trt,D32/224,1.0000
RTX_4500_Ada_Generation,ort_trt,D1/384,1.0000
RTX_4500_Ada_Generation,ort_trt,D8/384,1.0000
RTX_4500_Ada_Generation,ort_trt,D32/384,1.0000
RTX_4500_Ada_Generation,ort_trt,B1/224,1.0000
RTX_4500_Ada_Generation,ort_trt,B8/224,1.0000
RTX_4500_Ada_Generation,ort_trt,B32/224,1.0000
RTX_4500_Ada_Generation,ort_trt,B1/384,1.0000
RTX_4500_Ada_Generation,ort_trt,B8/384,1.0000
RTX_4500_Ada_Generation,ort_trt,B32/384,1.0000
Tesla_T4,eager,T1/224,2.9118
Tesla_T4,eager,T8/224,2.3734
Tesla_T4,eager,T32/224,3.1677
Tesla_T4,eager,T1/384,2.4262
Tesla_T4,eager,T8/384,3.5500
Tesla_T4,eager,T32/384,2.2689
Tesla_T4,eager,S1/224,2.5641
Tesla_T4,eager,S8/224,4.9464
Tesla_T4,eager,S32/224,3.0169
Tesla_T4,eager,S1/384,3.4840
Tesla_T4,eager,S8/384,3.2614
Tesla_T4,eager,S32/384,3.4491
Tesla_T4,eager,D1/224,2.4656
Tesla_T4,eager,D8/224,4.9500
Tesla_T4,eager,D32/224,3.0689
Tesla_T4,eager,D1/384,3.4962
Tesla_T4,eager,D8/384,3.3080
Tesla_T4,eager,D32/384,3.4706
Tesla_T4,eager,B1/224,3.3580
Tesla_T4,eager,B8/224,3.9727
Tesla_T4,eager,B32/224,4.4997
Tesla_T4,eager,B1/384,5.2568
Tesla_T4,eager,B8/384,4.5168
Tesla_T4,eager,B32/384,4.0674
Tesla_T4,torchscript,T1/224,2.0654
Tesla_T4,torchscript,T8/224,2.3485
Tesla_T4,torchscript,T32/224,3.1594
Tesla_T4,torchscript,T1/384,2.2339
Tesla_T4,torchscript,T8/384,3.5320
Tesla_T4,torchscript,T32/384,2.2724
Tesla_T4,torchscript,S1/224,2.2397
Tesla_T4,torchscript,S8/224,4.9819
Tesla_T4,torchscript,S32/224,3.0096
Tesla_T4,torchscript,S1/384,3.4789
Tesla_T4,torchscript,S8/384,3.2610
Tesla_T4,torchscript,S32/384,3.4499
Tesla_T4,torchscript,D1/224,2.1884
Tesla_T4,torchscript,D8/224,4.9977
Tesla_T4,torchscript,D32/224,3.0475
Tesla_T4,torchscript,D1/384,3.4672
Tesla_T4,torchscript,D8/384,3.3279
Tesla_T4,torchscript,D32/384,3.4656
Tesla_T4,torchscript,B1/224,3.3844
Tesla_T4,torchscript,B8/224,4.0415
Tesla_T4,torchscript,B32/224,4.4806
Tesla_T4,torchscript,B1/384,5.2629
Tesla_T4,torchscript,B8/384,4.5459
Tesla_T4,torchscript,B32/384,4.0730
Tesla_T4,inductor_default,T1/224,2.8814
Tesla_T4,inductor_default,T8/224,2.3644
Tesla_T4,inductor_default,T32/224,3.0457
Tesla_T4,inductor_default,T1/384,2.0672
Tesla_T4,inductor_default,T8/384,3.5407
Tesla_T4,inductor_default,T32/384,2.2048
Tesla_T4,inductor_default,S1/224,2.7791
Tesla_T4,inductor_default,S8/224,4.9554
Tesla_T4,inductor_default,S32/224,3.0065
Tesla_T4,inductor_default,S1/384,3.4803
Tesla_T4,inductor_default,S8/384,3.2324
Tesla_T4,inductor_default,S32/384,3.4498
Tesla_T4,inductor_default,D1/224,2.6315
Tesla_T4,inductor_default,D8/224,4.9706
Tesla_T4,inductor_default,D32/224,3.0221
Tesla_T4,inductor_default,D1/384,3.4909
Tesla_T4,inductor_default,D8/384,3.3211
Tesla_T4,inductor_default,D32/384,3.4580
Tesla_T4,inductor_default,B1/224,3.3498
Tesla_T4,inductor_default,B8/224,3.9873
Tesla_T4,inductor_default,B32/224,4.5956
Tesla_T4,inductor_default,B1/384,5.2580
Tesla_T4,inductor_default,B8/384,4.5284
Tesla_T4,inductor_default,B32/384,4.0710
Tesla_T4,inductor_maxautotune,T1/224,1.4548
